source_facility_id,hospital_name,district,pincode,classification,matched_existing_name,notes
"TNHMIS-PUD-1058","Government Community Health Centre, North Pudukkottai","Pudukkottai","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-RAM-1059","Government Primary Health Centre, Central Ramanathapuram","Ramanathapuram","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-RAM-1060","Government Community Health Centre, North Ramanathapuram","Ramanathapuram","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-RAN-1061","Government Primary Health Centre, Central Ranipet","Ranipet","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-RAN-1062","Government Community Health Centre, North Ranipet","Ranipet","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-SAL-1063","Government Primary Health Centre, Central Salem","Salem","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-SAL-1064","Government Community Health Centre, North Salem","Salem","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-SIV-1065","Government Primary Health Centre, Central Sivaganga","Sivaganga","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-SIV-1066","Government Community Health Centre, North Sivaganga","Sivaganga","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TEN-1067","Government Primary Health Centre, Central Tenkasi","Tenkasi","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TEN-1068","Government Community Health Centre, North Tenkasi","Tenkasi","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-THA-1069","Government Primary Health Centre, Central Thanjavur","Thanjavur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-THA-1070","Government Community Health Centre, North Thanjavur","Thanjavur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-THE-1071","Government Primary Health Centre, Central Theni","Theni","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-THE-1072","Government Community Health Centre, North Theni","Theni","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-THO-1073","Government Primary Health Centre, Central Thoothukudi","Thoothukudi","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-THO-1074","Government Community Health Centre, North Thoothukudi","Thoothukudi","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1075","Government Primary Health Centre, Central Tiruchirappalli","Tiruchirappalli","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1076","Government Community Health Centre, North Tiruchirappalli","Tiruchirappalli","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1077","Government Primary Health Centre, Central Tirunelveli","Tirunelveli","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1078","Government Community Health Centre, North Tirunelveli","Tirunelveli","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1079","Government Primary Health Centre, Central Tirupathur","Tirupathur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1080","Government Community Health Centre, North Tirupathur","Tirupathur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1081","Government Primary Health Centre, Central Tiruppur","Tiruppur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1082","Government Community Health Centre, North Tiruppur","Tiruppur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1083","Government Primary Health Centre, Central Tiruvallur","Tiruvallur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1084","Government Community Health Centre, North Tiruvallur","Tiruvallur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1085","Government Primary Health Centre, Central Tiruvannamalai","Tiruvannamalai","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1086","Government Community Health Centre, North Tiruvannamalai","Tiruvannamalai","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1087","Government Primary Health Centre, Central Tiruvarur","Tiruvarur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-TIR-1088","Government Community Health Centre, North Tiruvarur","Tiruvarur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-VEL-1089","Government Primary Health Centre, Central Vellore","Vellore","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-VEL-1090","Government Community Health Centre, North Vellore","Vellore","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-VIL-1091","Government Primary Health Centre, Central Viluppuram","Viluppuram","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-VIL-1092","Government Community Health Centre, North Viluppuram","Viluppuram","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-VIR-1093","Government Primary Health Centre, Central Virudhunagar","Virudhunagar","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-VIR-1094","Government Community Health Centre, North Virudhunagar","Virudhunagar","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
